GEOID,area (m2)
42011,196121522.24128246
42019,139408900.73651353
42105,1167763020.823172
42115,69914782.21980932
42079,394107798.8343198
42047,692802777.1126518
42075,127723130.42846757
42123,368619071.8479155
42119,289073369.3767436
42063,114415706.29144394
42065,210420718.00517392
42081,1017496164.6997321
42069,184327451.1168458
42007,56638461.75932814
42021,454590342.9056545
42037,117605010.04101242
42107,319416746.1152836
42001,123818220.28529361
42009,404569873.30088365
42053,432771566.1212449
42113,423233720.858046
42015,240969458.75413376
42109,133114995.54933366
42025,226155392.86072224
42077,57833980.06438472
42087,252676148.90416226
42129,216241202.4053007
42057,220744563.86321872
42085,44656442.590805516
42125,83862236.53009412
42039,228113741.6773759
42093,2160155.330358593
44009,82411412.11476444
44007,79740728.61596146
44001,3160307.771914044
44003,29443140.478818815
44005,17311171.44271415
47001,11775865.442325547
47003,987851.0250217082
47005,1829041.4125634502
47019,5619792.247914594
47029,495382.92744958546
47049,45933064.24487556
47063,13030183.768781122
47073,12787135.362977104
47081,100171.79857920915
47097,3891617.881231082
47121,15215191.868053515
47149,14607560.65697812
47173,109067166.68720654
47057,13231695.441797776
47091,17850.166579808858
47107,17096155.85686091
47117,352104.081854223
47123,678073206.8339182
47143,18835329.527350303
47151,8239720.058274075
47155,1900815.8720087819
47157,11281776.370920854
47165,6267929.4595515225
47167,1387636.5528111204
47185,15655.744952631601
47189,4324801.348084076
47013,39151659.20429368
47021,3521837.057556147
47031,4339936.369084405
47035,5106314.924801666
47037,16252271.47824832
47041,154630.32713517273
47065,48476159.831883065
47089,2205859.8318196987
47025,841762.0110240502
47053,1906793.087881318
47135,24748.907673694102
47163,2308639.9146520295
47009,2757530.1032849723
47129,14412.871149239603
47045,28599464.47889648
47127,4623.081962672222
47145,2125994.0246445974
47183,15098058.728144843
47055,1092510.87460134
47085,128974.22944421745
47119,516589.93425682164
47147,7283736.069649324
47105,380004.0577695782
47093,17985038.92856522
47115,1279570.1137207889
47125,8568667.893799193
47101,40393.23775199834
47087,45430.76612802909
47139,431980161.2136434
47153,119127.29481123225
47169,53969.295293150586
47177,16880667.44626067
47039,0.0
47131,1523476.2399713013
